venue,community
neural information processing systems,ai
international conference on machine learning,ai
expert systems with applications,ai
"ieee transactions on systems, man, and cybernetics",ai
journal of machine learning research,ai
applied soft computing,ai
ieee transactions on fuzzy systems,ai
knowledge based systems,ai
neurocomputing,ai
canadian conference on artificial intelligence,ai
international joint conference on artificial intelligence,ai
neural networks,ai
neural computing and applications,ai
engineering applications of artificial intelligence,ai
robotics and autonomous systems,ai
artificial intelligence,ai
international conference on artificial intelligence and law,ai
journal of intelligent and robotic systems,ai
bioinformatics,bioinformatics
plos computational biology,bioinformatics
bmc bioinformatics,bioinformatics
briefings in bioinformatics,bioinformatics
journal of theoretical biology,bioinformatics
bmc systems biology,bioinformatics
ieee/acm transactions on computational biology and bioinformatics,bioinformatics
"genomics, proteomics & bioinformatics",bioinformatics
journal of mathematical biology,bioinformatics
mathematical social sciences,bioinformatics
journal of biomedical semantics,bioinformatics
journal of computational biology,bioinformatics
mathematical biosciences and engineering,bioinformatics
algorithms for molecular biology,bioinformatics
pacific symposium on biocomputing,bioinformatics
computational biology and chemistry,bioinformatics
meeting of the association for computational linguistics,computational linguistics
empirical methods in natural language processing,computational linguistics
meeting of the association for computational linguistics,computational linguistics
computer speech & language,computational linguistics
computational linguistics,computational linguistics
international conference on computational linguistics,computational linguistics
conference of the european chapter of the association for computational linguistics,computational linguistics
language resources and evaluation,computational linguistics
spoken language technology workshop,computational linguistics
international joint conference on natural language processing,computational linguistics
natural language engineering,computational linguistics
acm transactions on graphics,graphics
ieee transactions on visualization and computer graphics,graphics
computer graphics forum,graphics
computers & graphics,graphics
the visual computer,graphics
ieee computer graphics and applications,graphics
computer aided geometric design,graphics
virtual reality software and technology,graphics
visual analytics science and technology,graphics
computer animation and virtual worlds,graphics
international conference on persuasive technology,graphics
vision modeling and visualization,graphics
international conference on computer graphics theory and applications,graphics
ieee communications surveys and tutorials,networks
ieee communications magazine,networks
ieee transactions on wireless communications,networks
ieee journal on selected areas in communications,networks
ieee transactions on communications,networks
ieee transactions on vehicular technology,networks
international conference on computer communications,networks
ieee wireless communications,networks
ieee transactions on mobile computing,networks
ieee\/acm transactions on networking,networks
journal of network and computer applications,networks
computer networks,networks
ieee communications letters,networks
ieee network,networks
international conference on communications,networks
ad hoc networks,networks
acm/ieee international conference on mobile computing and networking,networks
computer communications,networks
computer and communications security,security
ieee symposium on security and privacy,security
ieee transactions on information forensics and security,security
usenix security symposium,security
international cryptology conference,security
network and distributed system security symposium,security
computers & security,security
ieee transactions on dependable and secure computing,security
international conference on the theory and application of cryptology and information security,security
cryptographic hardware and embedded systems,security
theory of cryptography conference,security
symposium on usable privacy and security,security
ieee security & privacy,security
journal of cryptology,security
fast software encryption,security
security and communication networks,security
international conference on computer vision,vision
ieee transactions on pattern analysis and machine intelligence,vision
european conference on computer vision,vision
ieee transactions on image processing,vision
pattern recognition,vision
international journal of computer vision,vision
medical image analysis,vision
pattern recognition letters,vision
computer vision and image understanding,vision
british machine vision conference,vision
journal of visual communication and image representation,vision
international conference on image processing,vision
workshop on applications of computer vision,vision
ieee international conference on automatic face and gesture recognition,vision
image and vision computing,vision
machine vision applications,vision
international conference on document analysis and recognition,vision
journal of mathematical imaging and vision,vision
ieee transactions on parallel and distributed systems,systems
future generation computer systems,systems
networked systems design and implementation,systems
international symposium on computer architecture,systems
international symposium on computer architecture,systems
ieee internet of things journal,systems
ieee transactions on cloud computing,systems
international symposium on parallel and distributed computing,systems
ieee transactions on services computing,systems
usenix technical conference,systems
"ieee international conference on high performance computing, data, and analytics",systems
international journal of distributed sensor networks,systems
the journal of supercomputing,systems
european conference on computer systems,systems
international symposium on microarchitecture,systems
usenix conference on file and storage technologies,systems
journal of parallel and distributed computing,systems
concurrency and computation: practice and experience,systems
pacific asia conference on knowledge discovery and data mining,data mining
ieee transactions on knowledge and data engineering,data mining
siam international conference on data mining,data mining
international conference on artificial intelligence and law,data mining
acm transactions on intelligent systems and technology,data mining
conference on recommender systems,data mining
knowledge and information systems,data mining
international conference on data mining,data mining
data mining and knowledge discovery,data mining
ieee international conference on fuzzy systems,data mining
siam international conference on data mining,data mining
wiley interdisciplinary reviews-data mining and knowledge discovery,data mining
advances in social networks analysis and mining,data mining
acm transactions on knowledge discovery from data,data mining
pacific-asia conference on knowledge discovery and data mining,data mining
advanced data analysis and classification,data mining
ieee transactions on knowledge and data engineering,databases
international world wide web conferences,databases
international conference on management of data,databases
siam international conference on data mining,databases
international conference on weblogs and social media,databases
international conference on data engineering,databases
international acm sigir conference on research and development in information retrieval,databases
conference on information and knowledge management,databases
acm transactions on intelligent systems and technology,databases
international conference on pragmatic web,databases
information systems,databases
conference on recommender systems,databases
information processing and management,databases
knowledge and information systems,databases
cross-language evaluation forum,databases
ieee international conference on fuzzy systems,databases
user interface software and technology,hci
ieee transactions on affective computing,hci
international journal of human-computer interaction,hci
acm transactions on computer-human interaction,hci
international conference on human computer interaction,hci
behaviour & information technology,hci
ieee transactions on human-machine systems,hci
international conference on multimodal interfaces,hci
international journal of human-computer interaction,hci
ieee transactions on haptics,hci
habitat international,hci
designing interactive systems,hci
computer supported cooperative work,hci
ieee transactions on information theory,information theory
international symposium on information theory,information theory
"designs, codes and cryptography",information theory
information theory and applications,information theory
conference on information sciences and systems,information theory
physical communication,information theory
data compression conference,information theory
cryptography and communications,information theory
advances in mathematics of communications,information theory
problems of information transmission,information theory
international symposium on information theory and its applications,information theory
journal of medical internet research,medical informatics
journal of the american medical informatics association,medical informatics
journal of biomedical informatics,medical informatics
international journal of medical informatics,medical informatics
journal of medical systems,medical informatics
