venue,community
neural information processing systems (nips),ai
international conference on machine learning (icml),ai
expert systems with applications,ai
"ieee transactions on systems, man and cybernetics part b, cybernetics",ai
ieee transactions on neural networks and learning systems,ai
the journal of machine learning research,ai
applied soft computing,ai
ieee transactions on fuzzy systems,ai
knowledge-based systems,ai
neurocomputing,ai
aaai conference on artificial intelligence,ai
international joint conference on artificial intelligence (ijcai),ai
neural networks,ai
neural computing and applications,ai
engineering applications of artificial intelligence,ai
robotics and autonomous systems,ai
artificial intelligence,ai
conference on learning theory (colt),ai
international conference on artificial intelligence and statistics,ai
journal of intelligent & robotic systems,ai
bioinformatics,bioinformatics
plos computational biology,bioinformatics
bmc bioinformatics,bioinformatics
briefings in bioinformatics,bioinformatics
database: the journal of biological databases & curation,bioinformatics
journal of theoretical biology,bioinformatics
bmc systems biology,bioinformatics
gigascience,bioinformatics
ieee/acm transactions on computational biology and bioinformatics,bioinformatics
"genomics, proteomics & bioinformatics",bioinformatics
journal of mathematical biology,bioinformatics
mathematical biosciences,bioinformatics
journal of biomedical semantics,bioinformatics
journal of computational biology,bioinformatics
international conference on research in computational molecular biology,bioinformatics
mathematical biosciences and engineering: mbe,bioinformatics
algorithms for molecular biology,bioinformatics
pacific symposium on biocomputing,bioinformatics
computational biology and chemistry,bioinformatics
genomics & informatics,bioinformatics
meeting of the association for computational linguistics (acl),computational linguistics
conference on empirical methods in natural language processing (emnlp),computational linguistics
conference of the north american chapter of the association for computational linguistics: human language technologies (hlt-naacl),computational linguistics
international workshop on semantic evaluation,computational linguistics
transactions of the association for computational linguistics,computational linguistics
international conference on language resources and evaluation (lrec),computational linguistics
computer speech & language,computational linguistics
computational linguistics,computational linguistics
international conference on computational linguistics (coling),computational linguistics
conference of the european chapter of the association for computational linguistics (eacl),computational linguistics
conference on computational natural language learning (conll),computational linguistics
workshop on machine translation,computational linguistics
language resources and evaluation,computational linguistics
annual meeting of the special interest group on discourse and dialogue (sigdial),computational linguistics
ieee spoken language technology workshop (slt),computational linguistics
international conference on computational linguistics and intelligent text processing,computational linguistics
international joint conference on natural language processing (ijcnlp),computational linguistics
"workshop on computational approaches to subjectivity, sentiment and social media analysis",computational linguistics
natural language engineering,computational linguistics
bionlp@ acl,computational linguistics
acm transactions on graphics (tog),graphics
ieee transactions on visualization and computer graphics,graphics
computer graphics forum,graphics
computers & graphics,graphics
the visual computer,graphics
ieee computer graphics and applications,graphics
acm siggraph/eurographics symposium on computer animation,graphics
ieee pacific visualization symposium,graphics
computer aided geometric design,graphics
graphical models,graphics
acm symposium on virtual reality software and technology,graphics
ieee symposium on visual analytics science and technology,graphics
graphics interface conference,graphics
symposium on interactive 3d graphics (si3d),graphics
computer animation and virtual worlds,graphics
international conference on 3d web technology,graphics
ieee symposium on large data analysis and visualization,graphics
visualization and data analysis,graphics
"vision, modeling & visualization",graphics
international conference on computer graphics theory and applications (grapp),graphics
ieee communications surveys & tutorials,networks
ieee communications magazine,networks
ieee transactions on wireless communications,networks
ieee journal on selected areas in communications,networks
ieee transactions on communications,networks
ieee transactions on vehicular technology,networks
ieee international conference on computer communications (infocom),networks
ieee wireless communications,networks
acm sigcomm conference,networks
ieee transactions on mobile computing,networks
ieee/acm transactions on networking (ton),networks
journal of network and computer applications,networks
computer networks,networks
ieee communications letters,networks
ieee networks,networks
ieee international conference on communications,networks
ad hoc networks,networks
ieee globecom,networks
annual international conference on mobile computing and networking,networks
computer communications,networks
acm symposium on computer and communications security,security
ieee symposium on security and privacy,security
ieee transactions on information forensics and security,security
usenix security symposium,security
international cryptology conference (crypto),security
network and distributed system security symposium (ndss),security
international conference on theory and applications of cryptographic techniques (eurocrypt),security
computers & security,security
ieee transactions on dependable and secure computing,security
international conference on financial cryptography and data security,security
international conference on the theory and application of cryptology and information security (asiacrypt),security
workshop on cryptographic hardware and embedded systems (ches),security
acm on asia conference on computer and communications security,security
theory of cryptography,security
symposium on usable privacy and security,security
ieee security & privacy,security
international conference on practice and theory in public key cryptography,security
journal of cryptology,security
fast software encryption (fse),security
security and communication networks,security
"ieee conference on computer vision and pattern recognition, cvpr",vision
ieee international conference on computer vision,vision
ieee transactions on pattern analysis and machine intelligence,vision
european conference on computer vision,vision
ieee transactions on image processing,vision
pattern recognition,vision
international journal of computer vision,vision
medical image analysis,vision
pattern recognition letters,vision
ieee computer society conference on computer vision and pattern recognition workshops,vision
computer vision and image understanding,vision
british machine vision conference (bmvc),vision
journal of visual communication and image representation,vision
ieee international conference on image processing (icip),vision
workshop on applications of computer vision (wacv),vision
ieee international conference on automatic face & gesture recognition,vision
image and vision computing,vision
machine vision and applications,vision
international conference on document analysis and recognition,vision
journal of mathematical imaging and vision,vision
ieee transactions on parallel and distributed systems,systems
future generation computer systems,systems
usenix conference on networked systems design and implementation,systems
international symposium on computer architecture (isca),systems
international conference on architectural support for programming languages and operating systems (asplos),systems
ieee international symposium on high performance computer architecture,systems
ieee internet of things journal,systems
ieee transactions on cloud computing,systems
ieee international symposium on parallel & distributed processing,systems
ieee transactions on services computing,systems
usenix annual technical conference,systems
acm sigmetrics performance evaluation review,systems
"international conference for high performance computing, networking, storage and analysis",systems
international journal of distributed sensor networks,systems
the journal of supercomputing,systems
acm european conference on computer systems,systems
ieee/acm international symposium on microarchitecture,systems
conference on file and storage technologies (fast),systems
journal of parallel and distributed computing,systems
concurrency and computation: practice and experience,systems
acm sigkdd international conference on knowledge discovery and data mining,data mining
ieee transactions on knowledge and data engineering,data mining
acm international conference on web search and data mining,data mining
international conference on artificial intelligence and statistics,data mining
acm transactions on intelligent systems and technology (tist),data mining
acm conference on recommender systems,data mining
knowledge and information systems,data mining
international conference on data mining,data mining
data mining and knowledge discovery,data mining
ieee international conference on big data,data mining
siam international conference on data mining (sdm),data mining
wiley interdisciplinary reviews: data mining and knowledge discovery,data mining
european conference on machine learning and knowledge discovery in databases,data mining
social network analysis and mining,data mining
acm transactions on knowledge discovery from data (tkdd),data mining
pacific-asia conference on knowledge discovery and data mining (pakdd),data mining
journal of big data,data mining
advances in data analysis and classification,data mining
"workshop on computational approaches to subjectivity, sentiment and social media analysis",data mining
statistical analysis and data mining: the asa data science journal,data mining
ieee transactions on knowledge and data engineering,databases
international world wide web conferences (www),databases
international conference on very large databases,databases
acm sigmod international conference on management of data,databases
acm international conference on web search and data mining,databases
international conference on web and social media (icwsm),databases
international conference on data engineering,databases
acm sigir conference on research and development in information retrieval,databases
acm international conference on information and knowledge management,databases
acm transactions on intelligent systems and technology (tist),databases
international conference on the semantic web,databases
information systems,databases
acm conference on recommender systems,databases
information processing & management,databases
knowledge and information systems,databases
workshop of cross-language evaluation forum,databases
ieee international conference on big data,databases
semantic web,databases
the vldb journal—the international journal on very large data bases,databases
"web semantics: science, services and agents on the world wide web",databases
computer human interaction (chi),hci
acm conference on computer-supported cooperative work & social computing,hci
acm conference on pervasive and ubiquitous computing (ubicomp),hci
acm symposium on user interface software and technology,hci
ieee transactions on affective computing,hci
international journal of human-computer studies,hci
acm transactions on computer-human interaction (tochi),hci
