paper_community,reference_community,year,citations
ai,ai,1990,456
ai,ai,1991,1091
ai,ai,1992,686
ai,ai,1993,1036
ai,ai,1994,1056
ai,ai,1995,1881
ai,ai,1996,1325
ai,ai,1997,1719
ai,ai,1998,1445
ai,ai,1999,1471
ai,ai,2000,1443
ai,ai,2001,2010
ai,ai,2002,1819
ai,ai,2003,3239
ai,ai,2004,2500
ai,ai,2005,3531
ai,ai,2006,3331
ai,ai,2007,5193
ai,ai,2008,5433
ai,ai,2009,9735
ai,ai,2010,8486
ai,ai,2011,12684
ai,ai,2012,14391
ai,ai,2013,17158
ai,ai,2014,18126
ai,ai,2015,22490
ai,ai,2016,23658
ai,ai,2017,13651
ai,bioinformatics,1994,1
ai,bioinformatics,1995,1
ai,bioinformatics,1997,4
ai,bioinformatics,1998,1
ai,bioinformatics,1999,2
ai,bioinformatics,2000,1
ai,bioinformatics,2001,2
ai,bioinformatics,2002,12
ai,bioinformatics,2003,37
ai,bioinformatics,2004,55
ai,bioinformatics,2005,79
ai,bioinformatics,2006,152
ai,bioinformatics,2007,156
ai,bioinformatics,2008,181
ai,bioinformatics,2009,286
ai,bioinformatics,2010,385
ai,bioinformatics,2011,401
ai,bioinformatics,2012,410
ai,bioinformatics,2013,555
ai,bioinformatics,2014,530
ai,bioinformatics,2015,514
ai,bioinformatics,2016,690
ai,bioinformatics,2017,385
ai,computational linguistics,1990,7
ai,computational linguistics,1991,50
ai,computational linguistics,1992,15
ai,computational linguistics,1993,84
ai,computational linguistics,1994,18
ai,computational linguistics,1995,109
ai,computational linguistics,1996,120
ai,computational linguistics,1997,47
ai,computational linguistics,1998,46
ai,computational linguistics,1999,68
ai,computational linguistics,2000,45
ai,computational linguistics,2001,69
ai,computational linguistics,2002,100
ai,computational linguistics,2003,148
ai,computational linguistics,2004,97
ai,computational linguistics,2005,308
ai,computational linguistics,2006,92
ai,computational linguistics,2007,389
ai,computational linguistics,2008,192
ai,computational linguistics,2009,430
ai,computational linguistics,2010,334
ai,computational linguistics,2011,512
ai,computational linguistics,2012,358
ai,computational linguistics,2013,865
ai,computational linguistics,2014,629
ai,computational linguistics,2015,1013
ai,computational linguistics,2016,1025
ai,computational linguistics,2017,510
ai,data mining,1990,1
ai,data mining,1991,90
ai,data mining,1992,3
ai,data mining,1993,72
ai,data mining,1994,6
ai,data mining,1995,98
ai,data mining,1996,18
ai,data mining,1997,81
ai,data mining,1998,18
ai,data mining,1999,81
ai,data mining,2000,25
ai,data mining,2001,85
ai,data mining,2002,48
ai,data mining,2003,222
ai,data mining,2004,118
ai,data mining,2005,213
ai,data mining,2006,163
ai,data mining,2007,315
ai,data mining,2008,411
ai,data mining,2009,755
ai,data mining,2010,685
ai,data mining,2011,1095
ai,data mining,2012,1211
ai,data mining,2013,1608
ai,data mining,2014,1595
ai,data mining,2015,2191
ai,data mining,2016,2384
ai,data mining,2017,1488
ai,databases,1990,1
ai,databases,1991,26
ai,databases,1992,7
ai,databases,1993,13
ai,databases,1994,6
ai,databases,1995,39
ai,databases,1996,28
ai,databases,1997,33
ai,databases,1998,38
ai,databases,1999,54
ai,databases,2000,62
ai,databases,2001,113
ai,databases,2002,92
ai,databases,2003,283
ai,databases,2004,169
ai,databases,2005,246
ai,databases,2006,162
ai,databases,2007,397
ai,databases,2008,507
ai,databases,2009,987
ai,databases,2010,719
ai,databases,2011,1299
ai,databases,2012,1420
ai,databases,2013,1965
ai,databases,2014,1802
ai,databases,2015,2426
ai,databases,2016,2742
ai,databases,2017,1571
ai,graphics,1990,4
ai,graphics,1991,1
ai,graphics,1992,4
ai,graphics,1993,4
ai,graphics,1994,2
ai,graphics,1995,4
ai,graphics,1996,10
ai,graphics,1997,5
ai,graphics,1998,10
ai,graphics,1999,8
ai,graphics,2000,5
ai,graphics,2001,18
ai,graphics,2002,18
ai,graphics,2003,14
ai,graphics,2004,14
ai,graphics,2005,23
ai,graphics,2006,23
ai,graphics,2007,43
ai,graphics,2008,36
ai,graphics,2009,50
ai,graphics,2010,42
ai,graphics,2011,65
ai,graphics,2012,92
ai,graphics,2013,103
ai,graphics,2014,99
ai,graphics,2015,244
ai,graphics,2016,251
ai,graphics,2017,132
ai,hci,1995,2
ai,hci,1997,2
ai,hci,1998,2
ai,hci,2000,5
ai,hci,2001,3
ai,hci,2003,6
ai,hci,2004,3
