name,community
acm sigplan symposium on principles and practice of parallel programming,software systems
acm transactions on algorithms,theory
acm transactions on computer-human interaction,hci
acm transactions on graphics,graphics
acm transactions on intelligent systems and technology,data mining
acm transactions on intelligent systems and technology,databases
acm transactions on knowledge discovery from data,data mining
"acm transactions on multimedia computing, communications, and applications",multimedia
acm transactions on software engineering and methodology,software systems
acm/ieee international conference on mobile computing and networking,networks
ad hoc networks,networks
advanced data analysis and classification,data mining
advances in mathematics of communications,information theory
advances in social networks analysis and mining,data mining
algorithmica,theory
algorithms for molecular biology,bioinformatics
applied and computational harmonic analysis,signal processing
applied medical informaticvs,medical informatics
applied soft computing,ai
artificial intelligence,ai
artificial intelligence in medicine,medical informatics
autonomous robots,robotics
behaviour & information technology,hci
bioinformatics,bioinformatics
bioinspiration & biomimetics,robotics
bmc bioinformatics,bioinformatics
bmc medical informatics and decision making,medical informatics
bmc systems biology,bioinformatics
briefings in bioinformatics,bioinformatics
british machine vision conference,vision
canadian conference on artificial intelligence,ai
computational biology and chemistry,bioinformatics
computational linguistics,computational linguistics
computer aided geometric design,graphics
computer and communications security,security
computer animation and virtual worlds,graphics
computer communications,networks
computer graphics forum,graphics
computer networks,networks
computer speech & language,computational linguistics
computer supported cooperative work,hci
computer vision and image understanding,vision
computers & graphics,graphics
computers & security,security
concurrency and computation: practice and experience,systems
conference of the european chapter of the association for computational linguistics,computational linguistics
conference of the international speech communication association,signal processing
conference on information and knowledge management,databases
conference on information sciences and systems,information theory
conference on multimedia modeling,multimedia
"conference on object-oriented programming systems, languages, and applications",software systems
conference on recommender systems,data mining
conference on recommender systems,databases
cross-language evaluation forum,databases
cryptographic hardware and embedded systems,security
cryptography and communications,information theory
data compression conference,information theory
data mining and knowledge discovery,data mining
designing interactive systems,hci
"designs, codes and cryptography",information theory
digital signal processing,signal processing
empirical methods in natural language processing,computational linguistics
empirical software engineering,software systems
engineering applications of artificial intelligence,ai
eurasip journal on image and video processing,multimedia
european conference on computer systems,systems
european conference on computer vision,vision
european symposium on algorithms,theory
expert systems with applications,ai
fast software encryption,security
future generation computer systems,systems
"genomics, proteomics & bioinformatics",bioinformatics
health informatics journal,medical informatics
ieee communications letters,networks
ieee communications magazine,networks
ieee communications surveys and tutorials,networks
ieee computer graphics and applications,graphics
ieee international conference on automatic face and gesture recognition,vision
ieee international conference on fuzzy systems,data mining
ieee international conference on fuzzy systems,databases
"ieee international conference on high performance computing, data, and analytics",systems
ieee internet of things journal,systems
ieee journal of selected topics in signal processing,signal processing
ieee journal on selected areas in communications,networks
ieee multimedia,multimedia
ieee network,networks
ieee robotics & automation magazine,robotics
ieee security & privacy,security
ieee signal processing letters,signal processing
ieee signal processing magazine,signal processing
ieee software,software systems
ieee symposium on security and privacy,security
